timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-18T12:24:48.441+07:00,spark,381.40%,4.943GiB / 7.678GiB,64.37%
2026-08-18T12:24:48.441+07:00,postgres,0.01%,57.82MiB / 7.678GiB,0.74%
2026-08-18T12:24:48.441+07:00,kafka,2.78%,990.7MiB / 7.678GiB,12.60%
2026-08-18T12:24:51.644+07:00,spark,345.06%,4.941GiB / 7.678GiB,64.34%
2026-08-18T12:24:51.644+07:00,postgres,0.01%,58.12MiB / 7.678GiB,0.74%
2026-08-18T12:24:51.644+07:00,kafka,3.22%,990.7MiB / 7.678GiB,12.60%
2026-08-18T12:24:54.872+07:00,spark,337.79%,4.941GiB / 7.678GiB,64.35%
2026-08-18T12:24:54.872+07:00,postgres,3.02%,57.95MiB / 7.678GiB,0.74%
2026-08-18T12:24:54.872+07:00,kafka,3.20%,990.7MiB / 7.678GiB,12.60%
2026-08-18T12:24:58.964+07:00,spark,164.37%,4.941GiB / 7.678GiB,64.35%
2026-08-18T12:24:58.964+07:00,postgres,1.99%,58.41MiB / 7.678GiB,0.74%
2026-08-18T12:24:58.964+07:00,kafka,6.86%,990.7MiB / 7.678GiB,12.60%
2026-08-18T12:25:02.237+07:00,spark,333.63%,4.946GiB / 7.678GiB,64.41%
2026-08-18T12:25:02.237+07:00,postgres,3.70%,58.32MiB / 7.678GiB,0.74%
2026-08-18T12:25:02.237+07:00,kafka,2.67%,990.7MiB / 7.678GiB,12.60%
2026-08-18T12:25:05.473+07:00,spark,240.62%,4.946GiB / 7.678GiB,64.42%
2026-08-18T12:25:05.473+07:00,postgres,5.15%,58.07MiB / 7.678GiB,0.74%
2026-08-18T12:25:05.473+07:00,kafka,3.28%,990.7MiB / 7.678GiB,12.60%
2026-08-18T12:25:08.774+07:00,spark,317.61%,4.946GiB / 7.678GiB,64.41%
2026-08-18T12:25:08.774+07:00,postgres,13.52%,60.55MiB / 7.678GiB,0.77%
2026-08-18T12:25:08.774+07:00,kafka,3.23%,991MiB / 7.678GiB,12.60%
2026-08-18T12:25:12.377+07:00,spark,264.21%,4.946GiB / 7.678GiB,64.42%
2026-08-18T12:25:12.377+07:00,postgres,2.82%,60.23MiB / 7.678GiB,0.77%
2026-08-18T12:25:12.377+07:00,kafka,2.92%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:25:15.606+07:00,spark,314.19%,4.94GiB / 7.678GiB,64.34%
2026-08-18T12:25:15.606+07:00,postgres,1.43%,60.53MiB / 7.678GiB,0.77%
2026-08-18T12:25:15.606+07:00,kafka,3.05%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:25:18.676+07:00,spark,326.83%,4.94GiB / 7.678GiB,64.34%
2026-08-18T12:25:18.676+07:00,postgres,20.67%,58.09MiB / 7.678GiB,0.74%
2026-08-18T12:25:18.676+07:00,kafka,2.79%,990.6MiB / 7.678GiB,12.60%
2026-08-18T12:25:21.950+07:00,spark,368.53%,4.942GiB / 7.678GiB,64.36%
2026-08-18T12:25:21.950+07:00,postgres,6.78%,58.14MiB / 7.678GiB,0.74%
2026-08-18T12:25:21.950+07:00,kafka,3.45%,990.9MiB / 7.678GiB,12.60%
2026-08-18T12:25:25.204+07:00,spark,328.50%,4.942GiB / 7.678GiB,64.36%
2026-08-18T12:25:25.204+07:00,postgres,6.79%,58.16MiB / 7.678GiB,0.74%
2026-08-18T12:25:25.204+07:00,kafka,3.13%,990.9MiB / 7.678GiB,12.60%
