timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T11:03:51.242+07:00,kafka,5.24%,1.068GiB / 7.678GiB,13.91%
2026-08-24T11:03:51.242+07:00,spark,390.27%,1.207GiB / 7.678GiB,15.72%
2026-08-24T11:03:51.242+07:00,postgres,0.00%,134.3MiB / 7.678GiB,1.71%
2026-08-24T11:03:54.526+07:00,kafka,12.83%,1.069GiB / 7.678GiB,13.93%
2026-08-24T11:03:54.526+07:00,spark,367.29%,1.362GiB / 7.678GiB,17.73%
2026-08-24T11:03:54.526+07:00,postgres,0.00%,134MiB / 7.678GiB,1.70%
2026-08-24T11:03:57.748+07:00,kafka,10.58%,1.068GiB / 7.678GiB,13.92%
2026-08-24T11:03:57.748+07:00,spark,335.96%,1.502GiB / 7.678GiB,19.56%
2026-08-24T11:03:57.748+07:00,postgres,26.66%,134.3MiB / 7.678GiB,1.71%
2026-08-24T11:04:00.823+07:00,kafka,15.08%,1.068GiB / 7.678GiB,13.92%
2026-08-24T11:04:00.823+07:00,spark,397.60%,1.556GiB / 7.678GiB,20.27%
2026-08-24T11:04:00.823+07:00,postgres,0.00%,134.3MiB / 7.678GiB,1.71%
2026-08-24T11:04:04.112+07:00,kafka,10.48%,1.068GiB / 7.678GiB,13.92%
2026-08-24T11:04:04.112+07:00,spark,367.78%,1.642GiB / 7.678GiB,21.39%
2026-08-24T11:04:04.112+07:00,postgres,1.97%,133.8MiB / 7.678GiB,1.70%
2026-08-24T11:04:07.417+07:00,kafka,9.57%,1.068GiB / 7.678GiB,13.91%
2026-08-24T11:04:07.417+07:00,spark,353.82%,1.732GiB / 7.678GiB,22.56%
2026-08-24T11:04:07.417+07:00,postgres,0.01%,133.8MiB / 7.678GiB,1.70%
2026-08-24T11:04:10.527+07:00,kafka,10.52%,1.069GiB / 7.678GiB,13.92%
2026-08-24T11:04:10.527+07:00,spark,371.81%,1.845GiB / 7.678GiB,24.02%
2026-08-24T11:04:10.527+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:04:13.784+07:00,kafka,11.61%,1.068GiB / 7.678GiB,13.92%
2026-08-24T11:04:13.784+07:00,spark,312.56%,1.943GiB / 7.678GiB,25.31%
2026-08-24T11:04:13.784+07:00,postgres,0.00%,134.1MiB / 7.678GiB,1.71%
2026-08-24T11:04:17.038+07:00,kafka,10.31%,1.068GiB / 7.678GiB,13.91%
2026-08-24T11:04:17.038+07:00,spark,368.76%,2.018GiB / 7.678GiB,26.29%
