timestamp,container,cpu_percent,memory_usage,memory_percent
2026-08-24T14:26:11.581+07:00,kafka,2.29%,877.1MiB / 7.678GiB,11.15%
2026-08-24T14:26:11.581+07:00,spark,400.28%,1.393GiB / 7.678GiB,18.14%
2026-08-24T14:26:11.581+07:00,postgres,0.00%,138MiB / 7.678GiB,1.75%
2026-08-24T14:26:14.603+07:00,kafka,18.92%,877.3MiB / 7.678GiB,11.16%
2026-08-24T14:26:14.603+07:00,spark,373.25%,1.521GiB / 7.678GiB,19.82%
2026-08-24T14:26:14.603+07:00,postgres,0.00%,138MiB / 7.678GiB,1.75%
2026-08-24T14:26:18.014+07:00,kafka,8.37%,877.2MiB / 7.678GiB,11.16%
2026-08-24T14:26:18.014+07:00,spark,320.71%,1.668GiB / 7.678GiB,21.73%
2026-08-24T14:26:18.014+07:00,postgres,0.00%,138MiB / 7.678GiB,1.75%
2026-08-24T14:26:21.191+07:00,kafka,7.54%,877.2MiB / 7.678GiB,11.16%
2026-08-24T14:26:21.191+07:00,spark,352.38%,1.734GiB / 7.678GiB,22.58%
2026-08-24T14:26:21.191+07:00,postgres,0.01%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:26:24.248+07:00,kafka,10.41%,877.2MiB / 7.678GiB,11.16%
2026-08-24T14:26:24.248+07:00,spark,399.58%,1.841GiB / 7.678GiB,23.98%
2026-08-24T14:26:24.248+07:00,postgres,0.00%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:26:27.491+07:00,kafka,7.32%,877.1MiB / 7.678GiB,11.16%
2026-08-24T14:26:27.491+07:00,spark,370.07%,1.986GiB / 7.678GiB,25.87%
2026-08-24T14:26:27.491+07:00,postgres,0.00%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:26:30.535+07:00,kafka,10.77%,877.3MiB / 7.678GiB,11.16%
2026-08-24T14:26:30.535+07:00,spark,345.67%,2.109GiB / 7.678GiB,27.47%
2026-08-24T14:26:30.535+07:00,postgres,0.00%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:26:33.586+07:00,kafka,6.46%,877.3MiB / 7.678GiB,11.16%
2026-08-24T14:26:33.586+07:00,spark,383.94%,2.176GiB / 7.678GiB,28.33%
2026-08-24T14:26:33.586+07:00,postgres,0.00%,138.2MiB / 7.678GiB,1.76%
2026-08-24T14:26:36.840+07:00,kafka,7.37%,877.3MiB / 7.678GiB,11.16%
2026-08-24T14:26:36.840+07:00,spark,365.75%,2.279GiB / 7.678GiB,29.68%
2026-08-24T14:26:36.840+07:00,postgres,0.00%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:26:40.088+07:00,kafka,6.79%,877.2MiB / 7.678GiB,11.16%
2026-08-24T14:26:40.088+07:00,spark,351.09%,2.366GiB / 7.678GiB,30.82%
2026-08-24T14:26:40.088+07:00,postgres,18.51%,138MiB / 7.678GiB,1.76%
2026-08-24T14:26:43.144+07:00,kafka,8.85%,877.5MiB / 7.678GiB,11.16%
2026-08-24T14:26:43.144+07:00,spark,379.68%,2.51GiB / 7.678GiB,32.69%
2026-08-24T14:26:43.144+07:00,postgres,0.00%,138MiB / 7.678GiB,1.76%
2026-08-24T14:26:46.409+07:00,kafka,5.69%,877.7MiB / 7.678GiB,11.16%
2026-08-24T14:26:46.409+07:00,spark,385.09%,2.636GiB / 7.678GiB,34.33%
2026-08-24T14:26:46.409+07:00,postgres,0.00%,138MiB / 7.678GiB,1.76%
2026-08-24T14:26:49.917+07:00,kafka,7.47%,877.3MiB / 7.678GiB,11.16%
2026-08-24T14:26:49.917+07:00,spark,391.68%,2.737GiB / 7.678GiB,35.64%
2026-08-24T14:26:49.917+07:00,postgres,0.52%,138.3MiB / 7.678GiB,1.76%
2026-08-24T14:26:54.542+07:00,kafka,5.56%,877.5MiB / 7.678GiB,11.16%
2026-08-24T14:26:54.542+07:00,spark,374.34%,2.803GiB / 7.678GiB,36.51%
2026-08-24T14:26:54.542+07:00,postgres,0.01%,137.9MiB / 7.678GiB,1.75%
2026-08-24T14:26:57.793+07:00,kafka,8.78%,877.5MiB / 7.678GiB,11.16%
2026-08-24T14:26:57.793+07:00,spark,371.33%,2.929GiB / 7.678GiB,38.14%
